epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1493.6,1.48253,3.16356,2.94898,1.43028,0.65981,0.39194,0.41095,0.2306,0.65861,0.38828,0.40092,0.22226,1.58579,3.02721,3.493,1.49714,0.000657277,0.000657277,0.000657277
2,2921.05,1.36692,2.61863,2.05344,1.28929,0.50964,0.32967,0.36954,0.19987,0.41289,0.3864,0.35138,0.17417,1.61396,3.59516,3.63108,1.62199,0.00119287,0.00119287,0.00119287
3,4353.4,1.39697,2.51621,1.71164,1.31361,0.82238,0.59341,0.67026,0.43133,0.82233,0.59337,0.65412,0.41969,1.36603,2.62938,2.24577,1.34113,0.00159647,0.00159647,0.00159647
4,5776.98,1.3154,2.4087,1.41047,1.26516,0.82463,0.65201,0.72705,0.45287,0.8299,0.64337,0.69784,0.4073,1.39515,2.78528,1.62009,1.35194,0.001406,0.001406,0.001406
5,7197.9,1.23372,2.25292,1.19365,1.20311,0.85796,0.75227,0.80701,0.51915,0.85165,0.73598,0.77367,0.47866,1.23612,2.30459,1.25094,1.19734,0.001208,0.001208,0.001208
6,8613.5,1.1803,2.17385,1.05846,1.16629,0.86151,0.71429,0.78249,0.52782,0.90561,0.68498,0.75913,0.48658,1.2417,2.37763,1.15234,1.19995,0.00101,0.00101,0.00101
7,10006.5,1.1199,2.13894,0.96652,1.1373,0.88411,0.69861,0.78277,0.52978,0.89338,0.70594,0.76841,0.51099,1.24241,2.31039,1.14338,1.1937,0.000812,0.000812,0.000812
8,11405.7,1.08032,2.05344,0.91308,1.11502,0.92759,0.7619,0.83218,0.56809,0.91516,0.75077,0.80803,0.52968,1.11837,2.12348,0.98073,1.1354,0.000614,0.000614,0.000614
9,12812.4,1.02394,1.96374,0.8238,1.08068,0.91855,0.7023,0.82057,0.56007,0.90108,0.70071,0.79551,0.51207,1.15497,2.22876,0.98071,1.14903,0.000416,0.000416,0.000416
10,14218.4,0.99631,1.92438,0.76478,1.05625,0.91905,0.74856,0.84357,0.57535,0.91462,0.73993,0.81461,0.53169,1.16581,2.19425,0.90243,1.15095,0.000218,0.000218,0.000218
